Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Zwanenberg, Z.",57194811980,1,"Medicine
Nursing
",,
"Zouak, Abdellatif",57226397039,1,"Computer Science
",,
"Zoppi, Guillaume",22636568200,62,"Materials Science
Engineering
Physics and Astronomy
Energy
Chemistry
Chemical Engineering
Computer Science
Biochemistry, Genetics and Molecular Biology
",0000-0003-3622-6899,
"Zlatev, Zlatin",57221465827,2,"Social Sciences
",,
"Zink, Corinna",57222469239,1,"Engineering
Materials Science
Computer Science
",,
"Zingre, Kishor T.",56094556100,14,"Engineering
Energy
Environmental Science
Materials Science
Mathematics
",,
"Zied Abozied, Eman",57218697780,1,"Social Sciences
Economics, Econometrics and Finance
",,
"Zied, Eman",57196035089,2,"Earth and Planetary Sciences
",,
"Zia-Ul-Mustafa, Rida",57215898569,3,"Computer Science
Physics and Astronomy
Engineering
Mathematics
",,
"Zia, Abdul Wasy",58183730900,1,"Engineering
Mathematics
",,
"Zi, Qian",58121345200,1,"Energy
",,
"Zhu, Ziwen",57419706600,1,"Computer Science
Mathematics
Decision Sciences
",,
"Zhu, Manli",57224979621,3,"Computer Science
Medicine
Engineering
Social Sciences
Health Professions
Decision Sciences
",,
"Zhu, Jiwen",57204427082,2,"Engineering
Computer Science
Decision Sciences
",,
"Zhu, Jiangbo",35745410400,100,"Physics and Astronomy
Engineering
Materials Science
Computer Science
Mathematics
Chemistry
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Multidisciplinary
Social Sciences
",,
"Zhou, Lei",55622662200,11,"Engineering
Business, Management and Accounting
Economics, Econometrics and Finance
Energy
Earth and Planetary Sciences
Environmental Science
Decision Sciences
Social Sciences
Computer Science
",,
"Zhou, Honghao",57210340661,5,"Materials Science
Chemistry
Engineering
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Chemical Engineering
Environmental Science
",,
"Zhou, C.",57219569116,1,"Engineering
Materials Science
",,
"Zhobe, Andi",57223910909,1,"Computer Science
Social Sciences
Engineering
Environmental Science
",,
"Zhiwei, Gao",56960482100,3,"Computer Science
Engineering
",,
"Zharkova, Valentina V.",6603956490,139,"Earth and Planetary Sciences
Physics and Astronomy
Computer Science
Engineering
Mathematics
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Social Sciences
Medicine
Chemistry
",,
"Zhao, Jiaojiao",57200797892,2,"Engineering
Computer Science
Mathematics
Decision Sciences
",,
"Zhao, Jianqin",58067714400,1,"Computer Science
Business, Management and Accounting
",,
"Zhao, Jianfeng",57211396423,13,"Engineering
Social Sciences
Business, Management and Accounting
Environmental Science
Decision Sciences
Energy
Economics, Econometrics and Finance
",0000-0002-1140-7901,
"Zhao, Chao",56515807800,22,"Materials Science
Physics and Astronomy
Engineering
Energy
Chemistry
Chemical Engineering
Multidisciplinary
Computer Science
",,
"Zhang, Zhichao",57194547939,11,"Energy
Engineering
Chemical Engineering
Chemistry
Environmental Science
Mathematics
",,
"Zhang, Zhichao",57226030921,4,"Energy
Physics and Astronomy
Engineering
Chemical Engineering
Mathematics
",,
"Zhang, Yu",57839879400,3,"Computer Science
Engineering
Mathematics
",,
"Zhang, Yao",57203832772,5,"Engineering
Physics and Astronomy
Earth and Planetary Sciences
Computer Science
",0000-0002-3821-371X,
"Zhang, Yang",56131612600,4,"Computer Science
Engineering
",,
"Zhang, Yang",57196204773,1,"Engineering
Computer Science
",,
"Zhang, Xiaowei",7410266263,6,"Engineering
Physics and Astronomy
",,
"Zhang, Qian",57720730600,33,"Engineering
Materials Science
Physics and Astronomy
Chemical Engineering
Chemistry
Mathematics
Environmental Science
Biochemistry, Genetics and Molecular Biology
Computer Science
",,
"Zhang, Meng",57207106063,24,"Biochemistry, Genetics and Molecular Biology
Medicine
Engineering
Computer Science
Materials Science
Chemistry
Environmental Science
Chemical Engineering
Physics and Astronomy
Energy
Social Sciences
Immunology and Microbiology
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
",0000-0003-1089-6464,
"Zhang, Meng",57979009400,1,"Materials Science
Chemistry
Physics and Astronomy
",,
"Zhang, Meng",57914784000,1,"Social Sciences
Engineering
",,
"Zhang, Lining",51865135600,10,"Computer Science
Engineering
",,
"Zhang, Li",57219903438,2,"Engineering
Mathematics
Materials Science
",,
"Zhang, Li",57213179458,1,"Computer Science
",,
"Zhang, L. I.",57236823300,3,"Computer Science
",,
"Zhang, Jingtian",57190127723,5,"Computer Science
Engineering
Social Sciences
Medicine
Neuroscience
",,
"Zhang, Jikai",57823143600,5,"Physics and Astronomy
Materials Science
Engineering
Biochemistry, Genetics and Molecular Biology
Chemistry
Medicine
",,
"Zhang, Hui",55351906100,4,"Engineering
Energy
Arts and Humanities
Computer Science
",,
"Zhang, Dongna",57556106200,5,"Business, Management and Accounting
Environmental Science
Energy
Economics, Econometrics and Finance
Psychology
Medicine
",,
"Zhang, Dongna",57938194100,1,"Economics, Econometrics and Finance
",,
"Zevallos, Victor F.",55322958500,25,"Medicine
Nursing
Agricultural and Biological Sciences
Immunology and Microbiology
Chemistry
Biochemistry, Genetics and Molecular Biology
Engineering
Health Professions
Chemical Engineering
Social Sciences
Computer Science
",,
"Zetsche, Anne",56544597900,1,"Arts and Humanities
Social Sciences
",,
"Zeng, Yifeng",19639543500,129,"Computer Science
Engineering
Mathematics
Decision Sciences
Materials Science
Social Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
Business, Management and Accounting
Physics and Astronomy
Energy
Multidisciplinary
",0000-0002-5246-403X,
"Zeng, Buxin",58064508400,1,"Mathematics
Computer Science
",,
"Zaytsev, Andrey V.",56457891300,24,"Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Immunology and Microbiology
Agricultural and Biological Sciences
Environmental Science
Medicine
Energy
",,
"Zago, Giuseppe",57223918760,1,"Social Sciences
",,
"Zabiegaj, Dominika",55621748000,12,"Chemistry
Physics and Astronomy
Materials Science
Chemical Engineering
Environmental Science
Engineering
Energy
Multidisciplinary
",,
"Yusuf, Salma",55647325600,3,"Social Sciences
",,
"Yusha”u, Muhammad Jameel",56445871200,1,"Social Sciences
Arts and Humanities
",,
"Yumlembam, Rahul",57804712700,1,"Computer Science
",,
"Yukhanaev, Andrey",41662313800,10,"Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
",,
"Yuan, Zhenhui",57700135000,7,"Computer Science
Engineering
",,
"Yuan, Jie",57188986082,1,"Computer Science
Engineering
",,
"Younus, Othman Isam",57211426634,23,"Physics and Astronomy
Computer Science
Engineering
Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Social Sciences
",,
"Younger, Karen",57961053700,1,"Nursing
",,
"Young, Robert A.",23098633400,9,"Arts and Humanities
Social Sciences
Computer Science
Business, Management and Accounting
Engineering
Economics, Econometrics and Finance
",,
"Young, R. W.",7405921735,2,"Engineering
Energy
Chemical Engineering
",,
"Young, Paul M.",56400012900,2,"Psychology
Health Professions
Medicine
Social Sciences
",,
"Young, Julie",15841009500,4,"Medicine
Biochemistry, Genetics and Molecular Biology
Arts and Humanities
Psychology
",,
"Young, Julie",57226724732,3,"Social Sciences
Medicine
Nursing
",,
"Young, Julie",57718370300,1,"Agricultural and Biological Sciences
Nursing
",,
"Young, Janette",35732909100,3,"Decision Sciences
Business, Management and Accounting
Computer Science
",0000-0002-8936-6791,
"Young, Gregory R.",57220192959,33,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Computer Science
Mathematics
Agricultural and Biological Sciences
",,
"Young, Fraser",57217054651,15,"Medicine
Computer Science
Engineering
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Health Professions
Materials Science
Chemistry
Business, Management and Accounting
Social Sciences
",,
"Young, Fraser",57613823000,2,"Computer Science
Engineering
Medicine
Multidisciplinary
",,
"Younes, A.",57204758616,6,"Engineering
Materials Science
Physics and Astronomy
Chemistry
",0000-0003-4424-5045,
