Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Aarvold, Joan E.",6507222959,3,"Medicine
Nursing
Social Sciences
",,
"Abadi, Mojtaba Mansour",56127091300,37,"Computer Science
Engineering
Physics and Astronomy
Materials Science
Chemical Engineering
Medicine
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemistry
Neuroscience
",,
"Abbas, Baqar",55902994600,3,"Computer Science
Engineering
Medicine
",,
"Abbott, Carmel",57443867900,1,"Medicine
Immunology and Microbiology
",,
"Abbott, Sue",55194883900,1,"Social Sciences
",,
"Abbott-Brailey, Hilary",18133310900,3,"Medicine
Health Professions
Nursing
",,
"Abdelaal, Gina",57220060507,5,"Biochemistry, Genetics and Molecular Biology
Medicine
Neuroscience
",,
"Abdelkader, Senouci",57693745700,1,"Engineering
Materials Science
Computer Science
",,
"Abdellatif, Amal",57217490954,4,"Social Sciences
Business, Management and Accounting
",,
"Abdolnezhad, Hossein",57207567080,2,"Physics and Astronomy
Engineering
Chemistry
Materials Science
Medicine
",,
"Abduelmula, Mohamed",57195484199,4,"Engineering
Business, Management and Accounting
Decision Sciences
Computer Science
Mathematics
",,
"Abdullah, Tariq",57208532640,1,"Engineering
",,
"Abe, Eniola Michael",55242040300,35,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Social Sciences
Agricultural and Biological Sciences
Multidisciplinary
Computer Science
",,
"Abeyasinghe, M. Chelaka L",6507264897,1,"Business, Management and Accounting
",,
"Abonie, Ulric Sena",57214797230,10,"Medicine
Health Professions
Environmental Science
Multidisciplinary
Nursing
",,
"Abu-Almaalie, Zina",56418473900,4,"Computer Science
Engineering
Physics and Astronomy
",,
"Abubaker, Ali E.",55220854700,1,"Engineering
",,
"AbuKudais, Hani",6504176204,1,"Agricultural and Biological Sciences
",,
"Abumustafa, Naser I.",13609060500,9,"Economics, Econometrics and Finance
Social Sciences
Business, Management and Accounting
Environmental Science
Decision Sciences
",,
"Acharige, Anjana M.D.S.Delpe",56320670700,1,"Materials Science
Chemistry
",,
"Ackley, J.",57263704000,1,"Medicine
Arts and Humanities
",,
"A’Court, Bethany",57219534011,1,"Social Sciences
",,
"Adams, Joan",7404783891,1,"Health Professions
Medicine
Social Sciences
",,
"Adams, Nicola",8569654200,42,"Medicine
Health Professions
Nursing
Biochemistry, Genetics and Molecular Biology
Social Sciences
Neuroscience
Psychology
",,
"Adams, Richard",57702419000,1,"Health Professions
",,
"Adams, Roderick",57219975593,2,"Arts and Humanities
Engineering
Social Sciences
",,
"Adamson, Jackie",57226441468,1,"Social Sciences
",,
"Addison, K. S.",24572713300,1,"Engineering
",,
"Adebanjo, O.",36991840100,2,"Computer Science
Social Sciences
",,
"Adedotun-Ogundeji, Grace",57208526595,1,"Engineering
",,
"Adeniran, Emmanuel Folusho",57779105600,1,"Social Sciences
Computer Science
Engineering
Environmental Science
",,
"Adeniyi, Oladapo Martins",57201430267,2,"Energy
",0000-0003-0883-5216,
"Adeniyi, Onaopepo",57190279336,15,"Engineering
Computer Science
Energy
Business, Management and Accounting
Social Sciences
Environmental Science
Economics, Econometrics and Finance
",0000-0002-8053-7558,
"Adesina, Janet O.",57216202495,1,"Materials Science
Engineering
",,
"Adetoye, Babatunde",58064781100,1,"Social Sciences
Computer Science
Engineering
Environmental Science
",,
"Adey, Kate Lampitt",56389567300,3,"Arts and Humanities
Social Sciences
Engineering
Business, Management and Accounting
",,
"Adeyemo, Bolanle Adeyinka",58127156000,1,"Social Sciences
",,
"Affleck, Arthur",6507502334,4,"Social Sciences
Economics, Econometrics and Finance
",,
"Aftab, Mersha",56957998500,8,"Computer Science
Engineering
Arts and Humanities
Social Sciences
Business, Management and Accounting
Economics, Econometrics and Finance
Mathematics
",,
"Agafontsev, Dmitry S.",13607185700,31,"Physics and Astronomy
Mathematics
Engineering
Materials Science
Earth and Planetary Sciences
Chemistry
Medicine
Chemical Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Computer Science
",0000-0002-8148-0362,
"Agbo, Haiiel Marie",57223904520,2,"Computer Science
Social Sciences
Engineering
Environmental Science
",,
"Aggarwal, Geetika",57995477000,1,"Physics and Astronomy
Engineering
Computer Science
",,
"Agha-Kashkooli, Mohammad Reza",57191227983,13,"Engineering
Energy
Mathematics
",0000-0001-7537-5497,
"Aghakashkooli, Mohammadreza",58034929800,1,"Engineering
",,
"Agnew, Brian",7005737674,67,"Engineering
Energy
Chemical Engineering
Environmental Science
Mathematics
Social Sciences
Physics and Astronomy
Agricultural and Biological Sciences
Computer Science
Earth and Planetary Sciences
Business, Management and Accounting
",,
"Agrawal, Prashant",57189601844,30,"Engineering
Physics and Astronomy
Medicine
Materials Science
Chemistry
Energy
Chemical Engineering
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Biochemistry, Genetics and Molecular Biology
Computer Science
",0000-0002-6558-2684,
"Aham-Anyanwu, Nnanyelugo",56609253700,4,"Computer Science
Economics, Econometrics and Finance
Social Sciences
Mathematics
Decision Sciences
",,
"Ahmad, Farah",57211012715,1,"Mathematics
Decision Sciences
Computer Science
",,
"Ahmadi, Seyed Ehsan",57209495560,12,"Engineering
Energy
Environmental Science
Mathematics
Social Sciences
Computer Science
",0000-0003-2222-4155,
"Ahmed, Aminur",57202219016,1,"Computer Science
Mathematics
Engineering
Business, Management and Accounting
",,
"Ahmed, Bouridane",55600909100,3,"Computer Science
Engineering
Earth and Planetary Sciences
Decision Sciences
",,
"Ahmed, Farah Nafees",57208532537,4,"Computer Science
Engineering
Mathematics
Decision Sciences
Physics and Astronomy
Social Sciences
Health Professions
Medicine
",,
"Ahmed, I. L.M.",55691519400,3,"Engineering
Environmental Science
",,
"Ahmed, S. Rafez",57198883808,1,"Medicine
Neuroscience
",,
"Ahmed, Shara",57273768200,2,"Chemistry
Chemical Engineering
Multidisciplinary
",,
"Ahmed, Tarek M.F.",56888371100,6,"Engineering
Medicine
Energy
Environmental Science
Mathematics
Computer Science
",0000-0001-8576-2693,
"Ahmed, Zafar",52563259700,23,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Economics, Econometrics and Finance
Health Professions
Agricultural and Biological Sciences
Nursing
Environmental Science
Engineering
Social Sciences
Multidisciplinary
",,
"Ahrenkiel, R. J.",57196607916,1,"Engineering
",,
"Aidan Johnson, Elliott",58070836200,1,"Social Sciences
Environmental Science
",,
"Ai-Jibouri, B.",14043204700,1,"Engineering
Computer Science
",,
"Ait Si Ali, Amine",56081535600,21,"Computer Science
Engineering
Mathematics
Physics and Astronomy
Energy
Earth and Planetary Sciences
Materials Science
Decision Sciences
",0000-0001-7870-0566,
"Aitchison, Callum",55930776700,1,"Psychology
Neuroscience
",,
"Ajayi, Opeyemi Dele",57220155271,1,"Engineering
Computer Science
Decision Sciences
",,
"Ajefu, Joseph Boniface",57196469000,24,"Social Sciences
Economics, Econometrics and Finance
Business, Management and Accounting
Medicine
Environmental Science
Psychology
",,
"Ajeh, Daniel Edache",56461296600,1,"Computer Science
",,
"Ajibade, Benjamin O.",57355622100,2,"Nursing
Social Sciences
",0000-0002-0204-4205,
"Akande, Oreoluwa Tabitha",57226346939,1,"Engineering
Chemical Engineering
Computer Science
",,
"Akhtar Ali, M.",57208916543,3,"Engineering
Computer Science
Materials Science
",,
"Akinlabi, Esther T.",48561117900,754,"Engineering
Materials Science
Computer Science
Physics and Astronomy
Chemical Engineering
Energy
Environmental Science
Mathematics
Business, Management and Accounting
Multidisciplinary
Decision Sciences
Biochemistry, Genetics and Molecular Biology
Chemistry
Earth and Planetary Sciences
Agricultural and Biological Sciences
Medicine
Economics, Econometrics and Finance
Social Sciences
Immunology and Microbiology
Arts and Humanities
Pharmacology, Toxicology and Pharmaceutics
",0000-0002-9680-5510,
"Akinlabi, Stephen",48560939000,270,"Engineering
Materials Science
Energy
Computer Science
Physics and Astronomy
Environmental Science
Chemical Engineering
Business, Management and Accounting
Earth and Planetary Sciences
Mathematics
Decision Sciences
Multidisciplinary
Medicine
Agricultural and Biological Sciences
Chemistry
Social Sciences
",0000-0003-0851-5810,
"Akinlabi Akinlabi, Stephen",58122061100,1,"Engineering
Computer Science
",,
"Akinwale, Popoola Favourite",57362182100,1,"Computer Science
Social Sciences
Engineering
Environmental Science
",,
"Akutekwe, Arinze",56347329800,7,"Computer Science
Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Social Sciences
Mathematics
",,
"Alaali, Amani",57209409343,2,"Engineering
Computer Science
Mathematics
Arts and Humanities
",0000-0003-3817-4375,
"Aladeokin, Adewale",57809064200,1,"Medicine
Health Professions
Social Sciences
",,
"Alafogianni, Maria",57188658142,3,"Engineering
Materials Science
Energy
Chemical Engineering
Computer Science
",,
"Alamghtuf, Jumma",57194714326,1,"Computer Science
Physics and Astronomy
Medicine
",,
"Alamgir Hossain, M.",56901183100,1,"Computer Science
Engineering
",,
"Alasah, Eman",57472866000,1,"Social Sciences
",,
"Albanna, Hanaa",57354195500,2,"Computer Science
Business, Management and Accounting
Social Sciences
Decision Sciences
",,
"Aldibbiat, Nawras M.",6507388383,10,"Engineering
Physics and Astronomy
Computer Science
Materials Science
Social Sciences
",,
"Alexakis, A.",56375368900,1,"Engineering
Energy
",,
"Alexander, Jill",57207189813,4,"Social Sciences
",,
"Alexiou, Charikleia",57216221876,8,"Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
",,
"Alfed, Naser",57039080500,3,"Computer Science
Engineering
Mathematics
Medicine
Decision Sciences
",,
"Alfonso-Miller, Pamela",57190444849,20,"Medicine
Psychology
Environmental Science
Social Sciences
Neuroscience
Biochemistry, Genetics and Molecular Biology
",0000-0002-1908-8415,
"Alford, D.",57213498789,1,"Social Sciences
",,
"Algoul, Saleh",35110948700,8,"Computer Science
Engineering
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
",,
"Al-Gumaei, Yousef Ali",36175525900,19,"Computer Science
Engineering
Physics and Astronomy
Materials Science
Energy
Social Sciences
Mathematics
Medicine
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Agricultural and Biological Sciences
Multidisciplinary
",0000-0001-9920-3091,
"Alhassan, Abeer",57195990597,1,"Medicine
",,
"Alhateeb, Haider",57208532125,1,"Engineering
",,
"Ali, Abdalla",56857057300,3,"Computer Science
Engineering
Mathematics
Energy
",,
"Ali, Abdul",57191165149,1,"Computer Science
",0000-0002-3034-8628,
"Ali, Akhtar",25031032700,1,"Mathematics
Computer Science
",,
"Ali, Amine Ait Si",57205678102,1,"Computer Science
",,
"Ali, Imran",57205988751,41,"Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
Computer Science
Environmental Science
Energy
Arts and Humanities
Psychology
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Engineering
Decision Sciences
Multidisciplinary
",,
"Ali, M. A.",56797234700,16,"Computer Science
Mathematics
Engineering
Medicine
Business, Management and Accounting
Materials Science
",,
"Ali, Mehvish",58290917100,1,"Computer Science
Energy
Environmental Science
Social Sciences
",,
"Ali, Murad",57216746059,44,"Business, Management and Accounting
Social Sciences
Computer Science
Environmental Science
Energy
Economics, Econometrics and Finance
Engineering
Arts and Humanities
Psychology
Decision Sciences
Agricultural and Biological Sciences
",,
"Ali, Nafhesa",57200791647,7,"Social Sciences
Arts and Humanities
Environmental Science
",,
"Ali, S.",58269807200,1,"Energy
Engineering
",,
"Ali, Zunaib",56382729500,39,"Engineering
Energy
Mathematics
Computer Science
Social Sciences
Physics and Astronomy
Materials Science
Environmental Science
",0000-0002-2156-5823,
"Ali Al-Gumaei, Yousef",57220869057,1,"Engineering
",,
"Alien, William G.",57195569712,1,"Mathematics
Computer Science
",,
"Alireza, Maheri",57193164844,1,"Engineering
Physics and Astronomy
Materials Science
",,
"Aljabali, Sanaa",57188588153,1,"Computer Science
Social Sciences
",,
"Al-Jaberi, Nahidh",56604146600,3,"Medicine
Neuroscience
",,
"Aljarany, A.",6504720666,2,"Materials Science
",,
"Al-Jassim, Almaha",57289187600,1,"Energy
Engineering
Mathematics
",,
"Al-Jibouri, B.",7801341541,1,"",,
"Alkhateeb, Haider",57208524643,1,"Engineering
",,
"Al-Kurkchi, Khansaa",55921761700,1,"Medicine
Neuroscience
",,
"Allan, Jaden",57189904526,7,"Nursing
Medicine
Social Sciences
",0000-0001-8887-2556,
"Allan, Joanna",36145978300,10,"Social Sciences
Arts and Humanities
Earth and Planetary Sciences
",0000-0002-1784-4125,
"Allan, John",57221319192,1,"Biochemistry, Genetics and Molecular Biology
",,
"Allcock, Lee",57192119566,1,"Computer Science
Mathematics
",,
"Allen, Georgia",56063931200,11,"Social Sciences
Business, Management and Accounting
Health Professions
Psychology
Medicine
Nursing
Agricultural and Biological Sciences
",,
"Allen, J. H.",57196689053,1,"Engineering
",,
"Allen, Joseph I.H.",16068101100,2,"Materials Science
Engineering
Physics and Astronomy
",,
"Allen, Michele",57340206800,1,"Social Sciences
",,
"Allen, Sarah F.",57193339981,32,"Medicine
Neuroscience
Psychology
Multidisciplinary
Social Sciences
Biochemistry, Genetics and Molecular Biology
Computer Science
Agricultural and Biological Sciences
",0000-0003-0274-4137,
"Allen, William G.",57196502412,8,"Computer Science
Engineering
Decision Sciences
Social Sciences
Mathematics
Neuroscience
Psychology
",,
"Allen, William G.",24282393400,7,"Engineering
Physics and Astronomy
Materials Science
",,
"Allen-Baker, Georgia",58081385800,1,"Psychology
",,
"Allin, Linda J.",16554104000,27,"Social Sciences
Health Professions
Medicine
Business, Management and Accounting
Computer Science
Arts and Humanities
Nursing
Environmental Science
",,
"Allison, Sarah J.",40160940800,12,"Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Health Professions
Physics and Astronomy
Agricultural and Biological Sciences
Environmental Science
Engineering
Chemistry
Computer Science
",,
"Allsop, Susan",6701708922,10,"Medicine
Psychology
Nursing
Social Sciences
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Neuroscience
",,
"Allsopp, Rachel",57218533043,1,"Social Sciences
Computer Science
",,
"Almaalie, Zina Abu Hassan Abu",57191587608,2,"Computer Science
",,
"Almabrouk, Tarek",57226327546,2,"Medicine
",,
"Almaghtuf, Jumma",57202715565,2,"Computer Science
",,
"Al-Mamuny, M. A.",56297315000,1,"Engineering
Computer Science
",,
"Almarzouqi, Ibrahim",57189064349,1,"Engineering
",,
"Almehrej, Majid",57219341651,1,"Social Sciences
Arts and Humanities
Business, Management and Accounting
",,
"Almehyas, A. M.",6503997954,1,"Engineering
Environmental Science
",,
"ALMeqbali, Mohammed Abdullah",57814337100,1,"Psychology
",,
"Almhdie, Abdoulhakem",56445773600,1,"Economics, Econometrics and Finance
Business, Management and Accounting
",,
"Almotaeryi, Resheed",56294792000,4,"Computer Science
Engineering
Decision Sciences
",,
"Al-Naimi, Usama",58137577300,1,"Agricultural and Biological Sciences
Environmental Science
",,
"Alnasseri, Nasser",57190586357,1,"Engineering
Business, Management and Accounting
",,
"Al-Nassrawi, Mustafa",57203121236,1,"Computer Science
Physics and Astronomy
",,
"Alraja, Mansour Naser",36191795300,35,"Computer Science
Business, Management and Accounting
Mathematics
Engineering
Economics, Econometrics and Finance
Decision Sciences
Social Sciences
Arts and Humanities
Psychology
Physics and Astronomy
Materials Science
Multidisciplinary
",0000-0003-3492-8838,
"Al-Sehrawy, Ramy",57218253409,3,"Engineering
Social Sciences
Computer Science
",,
"Alshehri, Fahad",57211566645,1,"Mathematics
",,
"Alston, Charlotte",56576144000,11,"Arts and Humanities
Social Sciences
Earth and Planetary Sciences
",,
"Al-Sulaiti, Ibrahim",57831474000,3,"Environmental Science
",,
"Altuna-Urquijo, Marta",8531183600,2,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",,
"Alvanides, S.",6507786349,44,"Social Sciences
Environmental Science
Medicine
Engineering
Earth and Planetary Sciences
Arts and Humanities
Nursing
Health Professions
Psychology
Agricultural and Biological Sciences
Decision Sciences
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Neuroscience
Computer Science
",0000-0003-4905-4109,
"Alvarez de la Vega, Juan Carlos",57218864265,5,"Computer Science
Social Sciences
",,
"Alwan, Zaid",16174599700,19,"Engineering
Energy
Computer Science
Social Sciences
Environmental Science
Economics, Econometrics and Finance
Mathematics
Decision Sciences
Business, Management and Accounting
",,
"Amaechi, Ifeanyi Echezona",57643452100,1,"Environmental Science
",,
"Amaibi, Patrick M.",57204692907,4,"Environmental Science
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
",0000-0001-8007-5624,
"Amankwaa, Aaron Opoku",57200546342,12,"Medicine
Social Sciences
Biochemistry, Genetics and Molecular Biology
Chemistry
Nursing
Agricultural and Biological Sciences
Neuroscience
",,
"Amedu, Osaighe K.",56078442100,2,"Physics and Astronomy
Engineering
",0000-0001-6443-7445,
"Ameli, M.",55567991600,1,"Engineering
Energy
",,
"Ames, Jennifer M.",57206694514,3,"Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
",,
"Amess, Leon",57195316808,3,"Environmental Science
Engineering
Social Sciences
Medicine
Materials Science
",,
"Ameyaw Effah, Ernest Effah",55885929700,37,"Engineering
Business, Management and Accounting
Environmental Science
Computer Science
Energy
Social Sciences
Decision Sciences
Agricultural and Biological Sciences
",0000-0001-6708-7647,
"Amiri, M.",57197115338,3,"Computer Science
Engineering
Social Sciences
",,
"Amiri, Nima",57512907700,2,"Energy
Engineering
Environmental Science
Mathematics
",,
"Amiri, Rana",35110367900,18,"Medicine
Nursing
Social Sciences
Psychology
",0000-0003-2898-5422,
"Amirkhalili, Arezoo",57192921419,1,"Engineering
Materials Science
",,
"Amoo, Michael",57452158700,3,"Earth and Planetary Sciences
Environmental Science
Agricultural and Biological Sciences
",0000-0002-1816-9221,
